rGA-whole,rGA-uniform,bGA-2pt,bGA-uniform
2464.2,2444.7,2511.88,2453.38
2230.05,2197.92,2200.67,2282.47
1973.61,1940.58,1979.1,2127.79
1741.99,1646.13,1768.62,1958.08
1533.33,1477.28,1605.13,1853.09
1331.85,1296.63,1347.19,1735.85
1201.91,1142.72,1189.95,1627.1
1085.79,1021.21,1081.91,1503.35
935.615,902.4060000000001,932.29,1389.18
796.6469999999999,807.331,808.794,1333.33
692.546,683.245,726.3660000000001,1251.74
631.383,605.933,646.183,1174.38
565.896,532.694,549.813,1128.65
483.434,466.414,500.824,1078.08
403.82099999999997,410.301,441.168,1022.92
365.495,364.161,403.496,951.416
327.561,333.37199999999996,360.415,899.927
300.325,305.742,311.986,869.102
266.363,276.781,282.907,821.002
247.08700000000002,258.487,258.228,787.541
218.928,240.108,235.25599999999997,749.982
201.23,221.61900000000003,219.817,707.952
180.796,209.19400000000002,198.329,681.37
171.63400000000001,188.783,185.581,656.005
153.464,173.386,170.607,635.866
136.947,165.451,161.668,617.099
126.79,154.767,153.37,593.9630000000001
118.22200000000001,143.651,143.721,570.779
115.117,134.326,139.031,555.985
107.54700000000001,129.518,132.334,542.195
103.38799999999999,120.853,129.00799999999998,533.604
99.365,111.25299999999999,125.845,523.165
92.8927,107.90799999999999,122.82799999999999,508.661
89.2066,104.33,121.12299999999999,498.098
84.9272,94.2265,118.152,487.16
80.5938,88.9806,116.682,482.663
75.5648,84.5889,115.471,474.733
70.4042,82.7489,113.993,467.75199999999995
66.032,78.7839,112.85700000000001,462.089
64.0295,74.9851,111.598,456.22
61.3863,69.6742,110.51799999999999,450.49199999999996
59.4921,66.2038,109.40899999999999,447.014
56.6523,61.7119,108.757,444.048
52.6919,59.4444,108.275,434.702
49.6889,58.7205,107.06299999999999,431.42800000000005
47.5149,54.7224,106.368,427.772
46.2386,52.973,106.041,424.523
43.5058,50.537,105.414,421.39599999999996
42.6685,49.5964,105.235,419.92
39.352,48.6943,103.729,417.723
38.7424,47.391000000000005,103.48200000000001,414.181
37.6442,43.6818,103.21799999999999,412.51199999999994
35.8869,42.8383,102.94,411.536
33.2839,41.6297,102.725,407.274
32.6262,39.6838,102.53299999999999,405.392
31.6995,38.2795,102.07,400.918
30.7743,37.5789,100.641,399.62199999999996
29.826,37.1535,100.477,396.783
27.9394,33.0128,100.42399999999999,395.605
27.3328,31.2683,100.34700000000001,394.77
26.7045,30.1017,100.314,391.949
25.7543,28.6088,100.22,391.529
25.3011,27.3474,100.17399999999999,391.27
24.2838,26.8434,100.1,391.00300000000004
23.2024,26.3294,100.04899999999999,390.694
22.7222,25.6245,100.01,390.332
21.8045,24.9244,99.9663,390.168
20.7419,24.2296,99.9366,389.86
20.4962,22.8653,99.8924,389.60900000000004
20.2024,22.2385,99.8506,386.67699999999996
19.1393,21.3058,99.8214,386.536
18.9507,20.7738,99.8051,381.842
17.9879,20.2698,99.7917,381.519
17.5825,19.9049,99.7804,381.37699999999995
17.34,19.2229,99.7436,380.38300000000004
17.1274,18.7155,99.7267,377.409
16.3901,18.4923,99.6915,376.536
16.3061,18.0594,99.6634,376.17800000000005
15.6167,17.8743,99.6399,376.1
15.4055,17.6189,99.6194,372.73
14.7849,17.3669,99.5694,370.81300000000005
14.0364,16.5681,99.5644,369.905
13.7857,16.1532,99.544,369.72900000000004
13.7072,15.9375,99.5008,369.284
13.5735,15.7522,99.4919,364.974
13.0316,15.4731,99.4919,363.05699999999996
12.7777,14.9914,99.4919,363.04
12.3335,14.53,99.4722,362.962
12.0125,14.3738,99.4525,362.702
11.517999999999999,13.9298,99.434,359.9
10.9108,13.6305,99.434,359.652
10.7625,13.494000000000002,99.4301,359.60699999999997
10.5885,13.0669,99.4301,356.455
10.3548,12.5633,99.4301,355.24800000000005
10.2005,11.9994,99.4296,355.24699999999996
9.72535,11.4587,99.4088,355.18300000000005
9.461789999999999,10.9889,99.4049,354.347
9.41129,10.8586,99.3931,352.69300000000004
9.40542,10.7205,99.3929,352.273
9.23729,10.718,99.3503,351.517
9.20326,10.4778,99.3497,350.55800000000005
8.884839999999999,10.3387,99.2953,349.876
8.6955,10.2448,99.2948,349.86
8.663089999999999,9.98097,99.2864,349.82099999999997
8.535919999999999,9.90573,99.2864,349.80699999999996
8.40788,9.53492,99.2864,349.806
8.20635,9.10985,99.2522,349.666
7.928089999999999,9.08745,99.2364,349.645
7.78331,8.94668,99.2364,349.626
7.54645,8.85322,99.2325,349.60900000000004
7.5042100000000005,8.775210000000001,99.2325,349.602
7.1428899999999995,8.62107,99.2319,348.728
7.083189999999999,8.41538,99.2319,348.663
