rGA:n2-Pc1-Pm0.01,rGA:n2-Pc0.9-Pm0.01,rGA:n2-Pc0.5-Pm0.01,rGA:n2-Pc0.1-Pm0.01,rGA:n2-Pc0-Pm0.01
2412.24,2422.81,2432.18,2501.1,2578.42
2113.62,2172.11,2165.74,2253.5,2298.87
1779.03,1923.05,1920.31,2040.47,2049.15
1597.38,1663.19,1697.17,1872.53,1915.36
1381.01,1460.04,1481.09,1659.96,1794.88
1207.84,1220.93,1334.58,1390.42,1605.61
991.2689999999999,1077.25,1192.86,1262.83,1458.62
836.9810000000001,912.453,1057.98,1151.23,1330.83
727.492,784.683,925.1110000000001,1061.53,1226.68
637.9,665.755,820.865,909.191,1127.47
565.501,583.058,722.3889999999999,827.841,1030.21
503.54900000000004,530.754,663.6469999999999,751.337,934.503
458.834,483.435,614.927,698.643,865.584
421.69599999999997,446.341,576.367,627.1519999999999,822.7760000000001
400.731,405.598,544.137,601.7869999999999,758.71
386.68699999999995,390.82,512.2869999999999,570.5509999999999,717.39
367.736,369.74,490.39599999999996,534.264,681.403
351.711,354.415,457.82199999999995,514.058,658.84
345.35400000000004,344.015,440.54699999999997,492.925,631.399
332.306,334.417,427.76599999999996,467.29900000000004,598.015
320.03,312.318,405.779,461.658,570.688
308.026,310.538,375.616,427.889,556.193
284.747,295.698,367.19,411.981,532.743
273.415,286.942,357.82800000000003,406.962,517.29
260.903,281.644,350.934,392.478,500.54
251.851,277.623,335.21,385.05400000000003,478.285
245.692,265.959,329.25800000000004,367.55699999999996,456.11300000000006
235.832,262.319,309.634,359.31300000000005,418.05
232.292,256.378,301.154,346.38,406.18300000000005
220.636,237.877,292.237,340.44,399.47900000000004
215.215,232.076,282.416,333.26800000000003,393.50800000000004
213.30700000000002,217.878,275.205,327.346,371.92800000000005
206.046,212.463,274.487,322.433,367.05400000000003
203.71200000000002,210.32299999999998,269.42900000000003,311.137,352.423
196.92700000000002,210.226,264.732,301.82,344.45300000000003
194.56099999999998,204.09099999999998,258.137,298.853,322.512
192.386,196.892,248.537,285.756,312.251
182.77200000000002,193.989,244.487,272.98900000000003,303.591
179.24900000000002,190.94299999999998,241.113,270.502,295.051
174.49099999999999,183.27599999999998,233.877,258.496,285.89599999999996
174.31400000000002,180.071,231.78599999999997,247.293,280.369
169.803,176.96200000000002,220.27,240.36,269.39599999999996
168.343,171.987,215.09400000000002,236.261,264.501
164.595,161.362,212.03599999999997,229.122,261.591
160.49200000000002,159.94299999999998,202.208,223.296,252.618
155.92,157.62,197.59799999999998,208.238,250.625
153.246,152.632,196.243,197.33700000000002,242.18
149.584,148.903,194.608,193.68900000000002,234.24099999999999
148.053,147.629,187.91099999999997,189.861,229.81900000000002
142.672,146.75799999999998,183.894,184.08700000000002,219.612
142.591,144.59799999999998,178.73,181.77,219.57299999999998
139.446,143.615,175.507,177.78900000000002,215.622
137.381,140.842,173.364,171.995,201.28
127.296,137.013,170.953,170.574,191.96900000000002
123.95700000000001,135.27700000000002,168.27900000000002,167.632,189.41099999999997
122.62299999999999,133.80100000000002,167.87400000000002,164.183,184.17
118.417,133.287,165.85299999999998,157.954,177.535
116.791,131.797,161.944,149.006,174.253
115.17,127.303,154.879,146.876,167.958
112.095,122.536,152.536,144.505,166.84900000000002
111.14200000000001,121.47399999999999,149.086,143.347,161.83700000000002
110.449,119.065,147.833,142.339,159.486
106.199,117.536,143.972,142.239,159.0
106.09899999999999,111.50299999999999,137.999,139.579,157.34
104.61399999999999,110.444,137.52200000000002,136.116,151.887
104.096,106.839,134.32,134.782,145.22899999999998
104.096,104.244,132.529,134.665,142.998
101.625,101.854,122.62299999999999,129.969,140.759
99.2208,99.6826,118.927,127.132,138.736
97.0301,95.8319,117.064,125.213,134.842
96.8831,94.3967,114.583,121.145,131.886
93.9043,89.1003,114.03,117.515,129.935
93.3285,88.056,111.041,112.463,126.154
90.617,86.7767,107.675,108.773,124.912
88.5286,86.363,107.675,104.486,122.397
86.3786,85.2342,101.37799999999999,102.23200000000001,120.93
86.0461,80.2717,98.2577,100.18,114.189
85.5843,80.0553,94.1708,99.9293,110.29899999999999
85.2555,79.4726,92.1733,98.2152,108.742
82.2724,77.7657,91.4405,96.2221,107.445
80.7436,76.5955,90.804,95.8657,103.79799999999999
79.7209,73.7281,88.7444,94.0861,103.385
77.803,73.5974,88.2984,89.9308,100.70200000000001
